Time,Field A,Field B
09:00,"5
rUNSWift
vs.
Bembelbots
1:0","6
RoboEireann
vs.
B-Human
0:8"
09:15,,
09:30,,
09:45,,
10:00,"7
Nao Devils
vs.
HULKs
10:0","8
SPQR
vs.
R-ZWEI-KICKERS
2:0"
10:15,,
10:30,,
10:45,,
11:00,,
11:15,Lunch Break,
11:30,,
11:45,,
12:00,,
12:15,,
12:30,,
12:45,"9
rUNSWift
vs.
B-Human","10
HTWK Robots
vs.
RoboEireann"
13:00,,
13:15,,
13:30,,
13:45,"11
Nao Devils
vs. 
SPQR","12
R-ZWEI-KICKERS
vs.
HULKs"
14:00,,
14:15,,
14:30,,
14:45,,
15:00,,
15:15,,
15:30,,
15:45,,
16:00,FA R4,FB R4
16:15,,
16:30,,
16:45,,
17:00,FA R4,FB R4
17:15,,
17:30,,
17:45,,
18:00,,
